idpoint|longitude|latitude|sog|cog|ts|route
372|-4.815289|48.37968|13.9|135.4|1451234098|R_01
373|-4.852162|48.379875|15.6|116.8|1446913769|R_01
374|-4.818868|48.380215|17|132.2|1448209986|R_01
375|-4.852642|48.380226|15.5|118.1|1452184098|R_01
376|-4.816993|48.380253|16.1|136.4|1449241341|R_01
377|-4.816562|48.38028|14.3|135.6|1446896776|R_01
378|-4.853438|48.38038|15.4|117.7|1449764947|R_01
379|-4.817012|48.380527|13.2|133.1|1451407034|R_01
380|-4.817162|48.38057|16.4|135.4|1448124077|R_01
381|-4.854715|48.380592|15.4|117.6|1454685992|R_01
382|-4.815818|48.380592|13.4|130.7|1454759312|R_01
383|-4.855663|48.380707|15.3|122.4|1457627315|R_01
384|-4.817956|48.38077|15.7|137.5|1446292333|R_01
385|-4.817478|48.38087|13.1|137.1|1451317418|R_01
386|-4.818668|48.380955|14.3|137.3|1447501407|R_01
387|-4.856707|48.38118|15.8|114.7|1457454284|R_01
388|-4.818392|48.381233|13.7|135.4|1453635100|R_01
389|-4.855673|48.38152|15.6|113.4|1445876871|R_01
390|-4.857848|48.38164|15.4|116.3|1450429081|R_01
391|-4.85759|48.38169|15.3|114.7|1447259157|R_01
392|-4.818618|48.38188|13.7|133.7|1446395889|R_01
393|-4.818665|48.38204|14.4|138.1|1456763257|R_01
394|-4.81997|48.382187|16.7|137|1445611830|R_01
395|-4.823478|48.382244|15.3|141.2|1446741390|R_01
396|-4.819958|48.38228|16.1|132.6|1446377676|R_01
397|-4.820157|48.38238|15.4|139.2|1450451055|R_01
398|-4.82095|48.38241|15.8|134.3|1458232479|R_01
399|-4.819703|48.382545|14.4|135.3|1459006790|R_01
400|-4.859704|48.38256|14.6|116.4|1449845921|R_01
401|-4.820527|48.38266|14.4|140.3|1447241451|R_01
402|-4.821665|48.383053|16.8|141.3|1447403637|R_01
403|-4.820282|48.383335|14.1|135.7|1450197153|R_01
404|-4.821547|48.38349|15.5|138.1|1451925199|R_01
405|-4.821064|48.3835|14.5|140.9|1452962008|R_01
406|-4.820863|48.383514|17.1|135.3|1458497682|R_01
407|-4.863327|48.383556|13.8|119|1448636227|R_01
408|-4.821438|48.3836|13.1|138.9|1451061523|R_01
409|-4.863473|48.383617|15|113.7|1447086745|R_01
410|-4.821617|48.38371|14.4|139|1451130363|R_01
411|-4.823283|48.384247|16.1|143|1447587155|R_01
412|-4.821987|48.384266|14.3|136|1449661799|R_01
413|-4.867001|48.3844|8.7|119.1|1458577848|R_01
414|-4.822802|48.384445|14|134.7|1445270734|R_01
415|-4.82395|48.384933|14.1|138|1446982194|R_01
416|-4.822598|48.384953|13.8|137.1|1445772672|R_01
417|-4.86908|48.385193|14.5|112.5|1445187492|R_01
418|-4.868785|48.38522|14.7|112.6|1453739317|R_01
419|-4.869633|48.385326|15.8|116.6|1458663795|R_01
420|-4.82442|48.38542|16.4|138.2|1456573329|R_01
421|-4.82421|48.385605|15.3|135.6|1458992923|R_01
422|-4.824032|48.385612|14.3|134.2|1453290245|R_01
423|-4.869652|48.38562|14.8|116.9|1452264819|R_01
424|-4.825079|48.38579|13.9|136.8|1452339896|R_01
425|-4.825445|48.385983|16.3|134.1|1450525522|R_01
426|-4.824637|48.385986|14.6|131.4|1448901671|R_01
427|-4.82507|48.386093|14.3|139.2|1447691701|R_01
428|-4.826482|48.386425|14.3|137.4|1446217291|R_01
429|-4.873422|48.38666|15.1|117.1|1458836685|R_01
430|-4.873655|48.386806|14.2|114.2|1457712781|R_01
431|-4.874197|48.38688|15.3|115.3|1445963000|R_01
432|-4.873725|48.38697|14.1|115|1449400937|R_01
433|-4.826818|48.387127|14.5|136.4|1448711286|R_01
434|-4.827143|48.38714|14.3|135.3|1447427038|R_01
435|-4.874513|48.387226|14.1|108.8|1445790670|R_01
436|-4.87648|48.38732|14.3|109.7|1448191349|R_01
437|-4.827631|48.387665|16.5|138.1|1450715746|R_01
438|-4.877145|48.387726|15.2|117.7|1446135807|R_01
439|-4.8269|48.38776|15.2|138.4|1454844572|R_01
440|-4.875962|48.38777|14|112|1449219149|R_01
441|-4.877403|48.38788|15.4|113.4|1447172802|R_01
442|-4.827795|48.388187|13.8|133|1451666155|R_01
443|-4.878052|48.388405|15.2|116.6|1447345413|R_01
444|-4.829923|48.388428|16.9|139.7|1455727099|R_01
445|-4.82814|48.388428|15.8|132.9|1451820748|R_01
446|-4.828843|48.388668|17|133.9|1458894541|R_01
447|-4.829188|48.388805|14.9|135.4|1451147376|R_01
448|-4.880612|48.388947|14.5|114.9|1446913462|R_01
449|-4.88121|48.389023|14.5|115.4|1452183797|R_01
450|-4.82894|48.38912|14.6|136.9|1450957817|R_01
451|-4.830187|48.389328|16.4|138.1|1449056879|R_01
452|-4.82951|48.38958|14|137.6|1454661239|R_01
453|-4.829874|48.389713|15.1|134.9|1456680853|R_01
454|-4.832254|48.38998|16.6|132.1|1453029962|R_01
455|-4.831471|48.389988|14.3|136.1|1445357166|R_01
456|-4.883491|48.39007|9.1|117.8|1458577547|R_01
457|-4.884185|48.390186|15.1|117.6|1457627013|R_01
458|-4.830875|48.39023|15.5|138.5|1454430602|R_01
459|-4.830898|48.39024|15.5|137.2|1449315794|R_01
460|-4.830065|48.39026|14.1|137.3|1452608948|R_01
461|-4.830467|48.39028|13.8|133.1|1456502549|R_01
462|-4.884903|48.390335|15.1|123|1449764618|R_01
463|-4.830392|48.39044|14.9|137|1458923397|R_01
464|-4.831495|48.390446|16.3|134.6|1454154171|R_01
465|-4.8851|48.390507|15.2|124.5|1445876569|R_01
466|-4.83221|48.390717|16.2|137.4|1457106828|R_01
467|-4.83084|48.390835|14.5|138.6|1448452213|R_01
468|-4.830749|48.391014|15.5|135.6|1457178614|R_01
469|-4.831917|48.391052|15|135.2|1458388085|R_01
